datum,wettelijk,handels
2027-01-01,0.04,0.1015
2026-01-01,0.04,0.1015
2025-07-01,0.06,0.1015
2025-01-01,0.06,0.1115
2024-07-01,0.07,0.1225
2024-01-01,0.07,0.125
2023-07-01,0.06,0.12
2023-01-01,0.04,0.105
2022-01-01,0.02,0.08
2021-07-01,0.02,0.08
2021-01-01,0.02,0.08
2020-07-01,0.02,0.08
2020-01-01,0.02,0.08
2019-07-01,0.02,0.08
2019-01-01,0.02,0.08
2018-07-01,0.02,0.08
2018-01-01,0.02,0.08
2017-07-01,0.02,0.08
2017-01-01,0.02,0.08
2016-07-01,0.02,0.08
2016-01-01,0.02,0.0805
2015-07-01,0.02,0.0805
2015-01-01,0.02,0.0805
2014-07-01,0.03,0.0815
2014-01-01,0.03,0.0825
2013-07-01,0.03,0.085
2013-03-16,0.03,0.0875
2013-01-01,0.03,0.0775
2012-07-01,0.03,0.08
2012-01-01,0.04,0.08
2011-07-01,0.04,0.0825
2011-01-01,0.03,0.08
2010-07-01,0.03,0.08
2010-01-01,0.03,0.08
2009-07-01,0.04,0.08
2009-01-01,0.06,0.095
2008-07-01,0.06,0.1107
2008-01-01,0.06,0.112
2007-07-01,0.06,0.1107
2007-01-01,0.06,0.1058
2006-07-01,0.04,0.0983
2006-01-01,0.04,0.0925
2005-07-01,0.04,0.0905
2005-01-01,0.04,0.0909
2004-07-01,0.04,0.0901
2004-02-01,0.04,0.0902
2004-01-01,0.05,0.0902
2003-08-01,0.05,0.091
2003-07-01,0.07,0.091
2003-01-01,0.07,0.0985
2002-12-01,0.07,0.1035
2002-08-08,0.07,0.1035
2002-01-01,0.07,0.07
2001-07-01,0.08,0.08
2001-01-01,0.08,0.08
2000-07-01,0.06,0.06
2000-01-01,0.06,0.06
1999-07-01,0.06,0.06
1999-01-01,0.06,0.06
